Make,Model,Color,Mileage,VIN,Condition
Volks,Jetta,Blue,123457,car1234,Good
Nissan,Altima,Blue,12546,Vin12456,Great
Ford,Bronco,Grey,123456,qwert1234,Bad
Ford,Focus,Red,78945,ertyu1234,Great
Ferrari,Diablo,Orange,123456,1as2d58f45e3f4,Great
Volks,Jetta,Blue,123457,car1234,Good
Nissan,Altima,Blue,12546,Vin12456,Great
Ford,Bronco,Grey,123456,qwert1234,Bad
Ford,Focus,Red,78945,ertyu1234,Great
Ferrari,Diablo,Orange,123456,1as2d58f45e3f4,Great
Corvette,Viper,Yellow,154523,haifhnaof15641wf,Great
Chevy,Viper,Blue,152354,ahifeop123646,Good
